payment_method,license,purchase_date
eps,standard,2009-09-01
eps,standard,2010-12-03
eps,standard,2009-11-06
paypal,commercial,2009-03-10
klarna,commercial,2009-09-25
paypal,standard,2009-09-28
credit-card,commercial,2009-06-13
paypal,commercial,2010-10-04
eps,commercial,2009-03-25
klarna,standard,2010-01-16
credit-card,commercial,2009-11-07
paypal,standard,2009-12-16
eps,standard,2009-06-03
credit-card,standard,2009-09-16
klarna,standard,2009-05-21
credit-card,standard,2010-01-18
credit-card,standard,2010-11-02
eps,standard,2009-09-16
paypal,commercial,2010-03-09
credit-card,standard,2009-09-29
eps,commercial,2010-11-17
credit-card,standard,2009-08-21
klarna,standard,2010-09-27
credit-card,commercial,2010-02-02
eps,commercial,2009-05-03
credit-card,standard,2010-07-18
klarna,standard,2010-02-04
paypal,commercial,2010-02-12
klarna,commercial,2009-01-18
paypal,standard,2009-02-10
klarna,commercial,2010-07-01
credit-card,standard,2010-05-25
klarna,commercial,2009-09-24
paypal,commercial,2010-07-11
eps,commercial,2010-11-07
paypal,standard,2010-04-28
paypal,standard,2010-03-05
paypal,commercial,2009-03-25
credit-card,standard,2009-05-29
